Timestamp,X Position,Y Position,X Velocity,Y Velocity,Rotation,Rotation Velocity,Data1,Data2,Data3,Data4,FPS
0.17099998891353607,0,0,0,0,0,0,0,0,0,0,0,6.379056453704834
0.1710049957036972,0,0.000000004999999969612645,0,0.0010000000474974513,0,0,0.0000006245004442462232,-25,1.25,0,0,1.10428786277771
0.17101000249385834,0,0.00000000999999993922529,0,0.0010000000474974513,0,0,0.0000024980017769848928,-50,2.5,0,0,1.10428786277771
0.17101499438285828,0,0.000000014999999464748726,0,0.0010000000474974513,0,0,0.000005620503998216009,-75,3.75,0,0,1.10428786277771
0.1710200011730194,0,0.00000001999999987845058,0,0.0010000000474974513,0,0,0.000009992007107939571,-100,5,0,0,1.10428786277771
0.17102499306201935,0,0.000000025000000292152436,0,0.0010000000474974513,0,0,0.00001561251156090293,-125,6.25,0,0,1.10428786277771
0.17102999985218048,0,0.00000002999999892949745,0,0.0010000000474974513,0,0,0.000022482015992864035,-150,7.5,0,0,1.10428786277771
0.17103499174118042,0,0.000000034999999343199306,0,0.0010000000474974513,0,0,0.000030600520403822884,-175,8.75,0,0,1.10428786277771
0.17103999853134155,0,0.00000003999999975690116,0,0.0010000000474974513,0,0,0.000039968028431758285,-200,10,0,0,1.10428786277771
0.1710449904203415,0,0.000000045000000170603016,0,0.0010000000474974513,0,0,0.000050584534619702026,-225,11.25,0,0,1.10428786277771
0.17104999721050262,0,0.00000005000000058430487,0,0.0010000000474974513,0,0,0.00006251943705137819,-250,12.5,0,0,1.10428786277771
0.17105498909950256,0,0.000000055000000998006726,0,0.0010000000474974513,0,0,0.00007563394319731742,-275,13.75,0,0,1.10428786277771
0.1710599958896637,0,0.0000000599999978589949,0,0.0010000000474974513,0,0,0.00008999745477922261,-300,15,0,0,1.10428786277771
0.17106500267982483,0,0.00000006499999471998308,0,0.0010000000474974513,0,0,0.00010560996452113613,-325,16.25,0,0,1.10428786277771
0.17106999456882477,0,0.00000006999999158097125,0,0.0010000000474974513,0,0,0.00012254086323082447,-350,17.5,0,0,1.10428786277771
0.1710750013589859,0,0.00000007499998844195943,0,0.0010000000474974513,0,0,0.0001406513765687123,-375,18.75,0,0,1.10428786277771
0.17107999324798584,0,0.00000007999998530294761,0,0.0010000000474974513,0,0,0.00016001089534256607,-400,20,0,0,1.10428786277771
0.17108500003814697,0,0.00000008499998216393578,0,0.0010000000474974513,0,0,0.00018061940500047058,-425,21.25,0,0,1.10428786277771
0.1710899919271469,0,0.00000008999997902492396,0,0.0010000000474974513,0,0,0.0002024769055424258,-450,22.5,0,0,1.10428786277771
0.17109499871730804,0,0.00000009499997588591214,0,0.0010000000474974513,0,0,0.0002256528241559863,-475,23.75,0,0,1.10428786277771
0.17109999060630798,0,0.00000009999997274690031,0,0.0010000000474974513,0,0,0.0002500083646737039,-500,25,0,0,1.10428786277771
0.17110499739646912,0,0.00000010499996960788849,0,0.0010000000474974513,0,0,0.0002756128669716418,-525,26.25,0,0,1.10428786277771
0.17110998928546906,0,0.00000010999996646887666,0,0.0010000000474974513,0,0,0.00030246638925746083,-550,27.5,0,0,1.10428786277771
0.1711149960756302,0,0.00000011499996332986484,0,0.0010000000474974513,0,0,0.00033063828595913947,-575,28.75,0,0,1.10428786277771
0.17112000286579132,0,0.00000011999996729628037,0,0.0010000000474974513,0,0,0.00035998981911689043,-600,30,0,0,1.10428786277771
0.17112499475479126,0,0.0000001249999712626959,0,0.0010000000474974513,0,0,0.0003905903431586921,-625,31.25,0,0,1.10428786277771
0.1711300015449524,0,0.00000012999997522911144,0,0.0010000000474974513,0,0,0.0004225092416163534,-650,32.5,0,0,1.10428786277771
0.17113499343395233,0,0.00000013499997919552698,0,0.0010000000474974513,0,0,0.00045560774742625654,-675,33.75,0,0,1.10428786277771
0.17114000022411346,0,0.0000001399999831619425,0,0.0010000000474974513,0,0,0.0004900246858596802,-700,35,0,0,1.10428786277771
0.1711449921131134,0,0.00000014499998712835804,0,0.0010000000474974513,0,0,0.0005256211734376848,-725,36.25,0,0,1.10428786277771
0.17114999890327454,0,0.00000014999999109477358,0,0.0010000000474974513,0,0,0.0005624667392112315,-750,37.5,0,0,1.10428786277771
0.17115499079227448,0,0.0000001549999950611891,0,0.0010000000474974513,0,0,0.0006006306502968073,-775,38.75,0,0,1.10428786277771
0.1711599975824356,0,0.00000015999999902760464,0,0.0010000000474974513,0,0,0.0006399741978384554,-800,40,0,0,1.10428786277771
0.17116498947143555,0,0.00000016500000299402018,0,0.0010000000474974513,0,0,0.0006806360906921327,-825,41.25,0,0,1.10428786277771
0.17116999626159668,0,0.0000001700000069604357,0,0.0010000000474974513,0,0,0.0007224776200018823,-850,42.5,0,0,1.10428786277771
0.1711750030517578,0,0.00000017500001092685125,0,0.0010000000474974513,0,0,0.000765637552831322,-875,43.75,0,0,1.10428786277771
0.17117999494075775,0,0.00000018000001489326678,0,0.0010000000474974513,0,0,0.0008099771221168339,-900,45,0,0,1.10428786277771
0.17118500173091888,0,0.00000018500001885968231,0,0.0010000000474974513,0,0,0.000855635036714375,-925,46.25,0,0,1.10428786277771
0.17118999361991882,0,0.00000019000002282609785,0,0.0010000000474974513,0,0,0.0009024725295603275,-950,47.5,0,0,1.10428786277771
0.17119500041007996,0,0.00000019500002679251338,0,0.0010000000474974513,0,0,0.0009506284259259701,-975,48.75,0,0,1.10428786277771
0.1711999922990799,0,0.00000020000003075892892,0,0.0010000000474974513,0,0,0.000999963958747685,-1000,50,0,0,1.10428786277771
0.17120499908924103,0,0.00000020500003472534445,0,0.0010000000474974513,0,0,0.0010506178950890899,-1025,51.25,0,0,1.10428786277771
0.17120999097824097,0,0.00000021000003869175998,0,0.0010000000474974513,0,0,0.001102520851418376,-1050,52.5,0,0,1.10428786277771
0.1712149977684021,0,0.00000021500004265817552,0,0.0010000000474974513,0,0,0.0011556034442037344,-1075,53.75,0,0,1.10428786277771
