Timestamp,X Position,Y Position,X Velocity,Y Velocity,Rotation,Rotation Velocity,Data1,Data2,Data3,Data4,FPS
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,120.09127044677734
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,118.3712158203125
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,55.328094482421875
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,76.70476531982422
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,280.662353515625
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,116.06314086914063
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,113.75270080566406
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,82.28421020507813
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,104.72300720214844
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,252.2704315185547
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,132.45033264160156
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,74.42137145996094
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,132.78448486328125
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,123.4415512084961
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,117.00011444091797
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,314.8614501953125
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,103.73443603515625
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,143.67816162109375
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,71.05300903320313
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,297.0885314941406
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,114.67890167236328
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,125.580810546875
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,79.72574615478516
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,154.29718017578125
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,182.88221740722656
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,110.44841766357422
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,128.25445556640625
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,80.72979736328125
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,254.00050354003906
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,110.31439971923828
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,109.14647674560547
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,85.90327453613281
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,135.4646453857422
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,209.9517059326172
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,111.2966079711914
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,88.0746841430664
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,116.30611419677734
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,119.78916931152344
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,222.96543884277344
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,111.6694564819336
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,102.7326889038086
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,98.53187561035156
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,158.30299377441406
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,158.15277099609375
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,111.1728744506836
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,116.34671020507813
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,89.08686065673828
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,197.35543823242188
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,107.11225128173828
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,139.12075805664063
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,75.3863525390625
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,136.96754455566406
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,202.14271545410156
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,117.08230590820313
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,108.15487670898438
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,84.33125305175781
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,139.333984375
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,228.0501708984375
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,108.28370666503906
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,90.30976104736328
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,119.27481079101563
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,179.2114715576172
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,117.66090393066406
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,133.6540985107422
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,80.97821807861328
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,128.43565368652344
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,213.31057739257813
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,115.47344207763672
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,123.76237487792969
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,81.87326049804688
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,127.86088562011719
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,206.4409637451172
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,106.50761413574219
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,121.35922241210938
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,83.43067169189453
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,138.811767578125
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,188.64364624023438
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,120.61270904541016
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,107.85159301757813
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,95.82215118408203
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,214.0410919189453
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,122.98609924316406
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,117.46739959716797
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,74.65472412109375
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,309.5975341796875
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,116.40088653564453
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,128.94906616210938
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,81.98737335205078
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,129.90386962890625
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,170.06802368164063
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,133.92259216308594
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,82.37232208251953
0,0,0.0000004999999987376214,0,0,0,0,0,0,0,0,213.21961975097656
0.000004999999873689376,0.00000000000000000000795774648801792,0.0000004999999987376214,0.0000000000000015915493910232943,-0.00000000031830990621095623,0,0,0.0000000024999999848063226,-0.0005000000237487257,0.000025000001187436283,0.0000004999999987376214,106.94043731689453
0.000009999999747378752,0.000000000000000000023873240271847325,0.0000004999999987376214,0.0000000000000031830987820465886,-0.0000000006366198124219125,0,0,0.0000000024999999848063226,-0.0005000000237487257,0.000025000001187436283,-0.0000000000000015915494969024127,124.57954406738281
0.000014999999621068127,0.00000000000000000004774648054369465,0.0000004999999987376214,0.0000000000000047746480671907645,-0.000000000954929690877293,0,0,0.0000000024999999848063226,-0.0005000000237487257,0.000025000001187436283,-0.0000000000000031830989938048254,132.39772033691406
0.000019999999494757503,0.00000000000000000007957746326459206,0.0000004999999987376214,0.000000000000006366197564093177,-0.0000000012732395138215225,0,0,0.0000000024999999848063226,-0.0005000000237487257,0.000025000001187436283,-0.000000000000004774648490707238,81.55276489257813
