ball_id, ball_group, x_position, y_position, radius
1, None, 0.00392826, 0.0183532, 0.000645702
2, None, 0.0223059, 0.0207082, 0.000521468
3, None, -0.023295, -0.0255052, 0.00063036
4, None, 0.00447866, 0.0408117, 0.000532725
5, None, 0.0145144, -0.0123554, 0.000629169
6, None, -0.0125066, -0.0353677, 0.000663017
7, None, 0.0175455, -0.0380252, 0.000661725
8, None, 0.000127743, 0.0149516, 0.000669613
9, None, 0.00928457, 0.00157278, 0.000652642
10, None, -0.00809812, 0.0430316, 0.00060594
11, None, 0.00503122, 0.0438974, 0.000636389
12, None, -0.0197419, -0.00648403, 0.000509531
13, None, 0.0180567, -0.016957, 0.000532987
14, None, -0.0242902, -0.00642698, 0.000744835
15, None, 0.0122688, 0.0120577, 0.000620368
16, None, 0.0135424, 0.00349889, 0.000713554
17, None, -0.00708727, -0.0328154, 0.000733272
18, None, 0.0222189, -0.0452222, 0.000737371
19, None, -0.0131701, -0.0296668, 0.0005695
20, None, -0.0244358, -0.0464663, 0.000574351
21, None, -0.00646417, -0.00572454, 0.000736155
22, None, 0.00888683, -0.0286236, 0.000711969
23, None, 0.0167668, -0.0466316, 0.000743081
24, None, -0.0138348, -0.0140059, 0.000702117
25, None, 0.000884453, -0.0173119, 0.000650594
26, None, -0.0045896, 0.00993384, 0.000653292
27, None, 0.0245101, -0.030637, 0.000512689
28, None, 0.0209201, 0.0257953, 0.000568135
29, None, -0.0188965, 0.0298701, 0.000510971
30, None, -0.000929822, 0.0366334, 0.000551318
31, None, -0.0155731, 0.0197579, 0.00061597
32, None, 0.0202346, -0.0227297, 0.000623302
33, None, 0.0139115, -0.0446163, 0.000611813
34, None, 0.0151168, 0.0347854, 0.000671217
35, None, -0.00598857, -0.0093784, 0.00063695
36, None, 0.0184825, -0.0232251, 0.000704374
37, None, -0.0202686, 0.0140211, 0.000504526
38, None, -0.0207563, 0.000605203, 0.000689745
39, None, 0.0096392, 0.0158886, 0.00063005
40, None, -0.000986451, -0.0261969, 0.00059253
41, None, -0.0210164, 0.0099683, 0.000626693
42, None, -0.0104397, 0.0329899, 0.000631637
43, None, -0.00305413, -0.0199504, 0.000637265
44, None, 0.000359174, 0.042639, 0.000739885
45, None, -0.0245179, 0.0298735, 0.000525464
46, None, -0.0146713, 0.0299964, 0.000567267
47, None, 0.0141895, 0.0327553, 0.000626239
48, None, -0.0150408, -0.00137185, 0.000639966
49, None, 0.0220539, 0.00347868, 0.000511253
50, None, 0.0205735, -0.0450305, 0.000517331
51, None, -0.0197398, -0.0326308, 0.000569854
52, None, -0.0102465, 0.0150587, 0.000520608
53, None, -0.0143493, 0.012401, 0.000633925
54, None, 0.00348201, -0.0347066, 0.000651129
55, None, 0.00601592, -0.0274951, 0.000526254
56, None, -0.00282754, -0.0311064, 0.000661494
57, None, 0.00547856, -0.001249, 0.000582426
58, None, 0.0122348, 0.00708795, 0.000530597
59, None, 0.0197285, -0.0381315, 0.000655528
